NYC DEPARTMENT OF SANITATION PUBLIC SPACE RECYCLING SITE LIST,,,,,,,,,
SITE INFORMATION AND RECEPTACLE COUNT IS CURRENT AS OF THE FOLLOWING DATE,,,,,,,9/5/2018,,
,,,,,PUBLIC SPACE RECYCLING RECEPTACLE TOTAL (DSNY+PRIVATE),,2602,,
,,,,,PUBLIC SPACE RECYCLING RECEPTACLE TOTAL (DSNY ONLY),,2153,,
,,,,,PUBLIC SPACE RECYCLING PAPER RECEPTACLE TOTAL (DSNY ONLY),,1064,,
,,,,,PUBLIC SPACE RECYCLING MGP RECEPTACLE TOTAL (DSNY ONLY),,1089,,
,,,,,PRIVATE PUBLIC SPACE RECYCLING RECEPTACLES,,449,,
BOROUGH,,,,,"# DSNY RECEPTACLE SITES
(PRIVATE LOCATIONS NOT INCLUDED)",,# OF RECEPTACLES,,
MANHATTAN,,,,,241,,714,,
BRONX,,,,,50,,256,,
BROOKLYN NORTH,,,,,66,,194,,
BROOKLYN SOUTH,,,,,115,,307,,
QUEENS WEST,,,,,57,,152,,
QUEENS EAST,,,,,101,,267,,
STATEN ISLAND,,,,,74,,263,,
CITYWIDE TOTAL,,,,,704,,2153,,
,,,,,"Locations Highlighted in Yellow Are the ""New Style Silve Bullet"" Style Receptacles",,,,
,,,,,MANHATTAN DSNY PUBLIC SPACE RECYCLING SITES,,,,
,ZONE,DISTRICT,TYPE,STYLE,PLACED,SITE NAME/ BASKET LOCATION,PARTNER (IF ANY),P#A POEFR,#M OGFP
158,MAN,M06,DISTRICT,NEW,2015,N/E/C THIRD AVE. AND 21 ST.,N/A,1,1
159,MAN,M06,DISTRICT,NEW,2015,N/E/C THIRD AVE. AND 22 ST.,N/A,1,1
160,MAN,M06,DISTRICT,NEW,2015,N/E/C THIRD AVE. AND 23 ST.,N/A,1,1
162,MAN,M07,DISTRICT,OLD,2013,S/W/C BROADWAY AND 84TH ST,N/A,1,1
163,MAN,M07,DISTRICT,OLD,2013,N/W/C BROADWAY AND 83RD ST,N/A,1,1
164,MAN,M07,DISTRICT,OLD,2013,N/W/C BROADWAY AND 82ND ST,N/A,1,1
165,MAN,M07,DISTRICT,OLD,2013,N/W/C BROADWAY AND 77TH ST,N/A,1,1
166,MAN,M07,DISTRICT,OLD,2013,S/W/C BROADWAY/76TH ST,N/A,1,1
167,MAN,M07,DISTRICT,OLD,2013,N/W/C BROADWAY/73RD ST,N/A,1,1
168,MAN,M07,DISTRICT,OLD,2013,N/E/C BROADWAY/76TH ST,N/A,1,1
169,MAN,M07,DISTRICT,OLD,2013,S/E/C BROADWAY/77TH ST,N/A,1,1
171,MAN,M07,DISTRICT,NEW,2013,S/E/C BROADWAY/83RD ST,N/A,1,1
172,MAN,M07,DISTRICT,OLD,2013,S/E/C BROADWAY/108TH ST,N/A,1,1
176,MAN,M07,DISTRICT,OLD,2013,N/W/C AMSTERDAM AVENUE/105TH ST,N/A,1,1
177,MAN,M07,DISTRICT,NEW,2013,N/E/C AMSTERDAM AVENUE/106TH ST,N/A,1,1
178,MAN,M07,DISTRICT,NEW,2013,S/W/C AMSTERDAM AVENUE/106TH ST,N/A,1,1
209,MAN,M07,DISTRICT,NEW,2014,S/W/C OF WEST 63RD STREET AND BROADWAY,N/A,1,1
211,MAN,M07,DISTRICT,NEW,2014,N/E/C OF WEST 64TH STREET AND BROADWAY,N/A,1,1
212,MAN,M07,DISTRICT,NEW,2014,S/E/COF WEST 70TH STREET AND BROADWAY,N/A,1,1
