,cd,boro,date,year,month,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,fs_openhours,fs_open,trs_permits,paper_baskets,mgp_baskets,total_number_of_households,hh_compost_num,hh_compost_percent,shape_area,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,bigbelly,seasonal_wire_litter_basket,highend_basket,publicspacereceptacle,wire_basket,total_litter_baskets
3158,QN11,QN,2020-01-01,2020,1,2615.7,497.4,456.6,120.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3159,QN11,QN,2020-02-01,2020,2,2242.2,391.5,373.3,98.6,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3160,QN11,QN,2020-03-01,2020,3,2685.3,459.8,468.4,137.6,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3161,QN11,QN,2020-04-01,2020,4,2874.2,468.8,539.9,126.8,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3162,QN11,QN,2020-05-01,2020,5,3554.5,465.8,542.8,8.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3163,QN11,QN,2020-06-01,2020,6,3693.3,533.5,592.0,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3164,QN11,QN,2020-07-01,2020,7,3519.5,491.3,544.0,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3165,QN11,QN,2020-08-01,2020,8,3671.5,472.0,516.1,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3166,QN11,QN,2020-09-01,2020,9,3511.2,495.6,520.5,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3167,QN11,QN,2020-10-01,2020,10,3416.8,485.9,496.0,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3168,QN11,QN,2020-11-01,2020,11,3628.3,445.6,443.3,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3169,QN11,QN,2020-12-01,2020,12,3152.1,570.2,529.2,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3170,QN11,QN,2021-01-01,2021,1,2700.7,478.2,463.9,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3171,QN11,QN,2021-02-01,2021,2,2216.6,370.1,369.8,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3172,QN11,QN,2021-03-01,2021,3,3110.5,469.0,481.4,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3173,QN11,QN,2021-04-01,2021,4,2913.8,413.4,430.1,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3174,QN11,QN,2021-05-01,2021,5,3309.8,433.7,455.1,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3175,QN11,QN,2021-06-01,2021,6,3598.2,495.9,493.5,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3176,QN11,QN,2021-07-01,2021,7,3471.4,491.2,472.1,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3177,QN11,QN,2021-08-01,2021,8,3323.6,444.5,435.3,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3178,QN11,QN,2021-09-01,2021,9,3656.3,521.0,483.8,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
